return_id,order_id,customer_id,sku_id,category,sub_category,brand_tier,city,return_date,return_month,days_to_return,return_reason,return_reason_group,refund_amount,reverse_logistics_cost,total_loss,resolution_days,refund_mode,customer_segment,delivery_slot,sla_breached,is_perishable,order_total_paid,dark_store_id,delivery_agent_id
RET0000034,ORD0000179,CUS007819,SKU1149,Frozen Foods,Frozen Meat,Budget,Hyderabad,2024-05-13,2024-05,2,Expired or Near-Expiry,Quality,318.09,56.59,374.68,0,Wallet Credit,Champion,Afternoon (12–3 PM),0,1,327.0,DS009,DA0108
RET0000035,ORD0000185,CUS014699,SKU1023,Fruits & Vegetables,Leafy Greens,Budget,Bengaluru,2022-10-24,2022-10,0,Quality Not as Expected,Quality,168.45,59.63,228.08,5,Bank Transfer,Champion,Night (9 PM–12 AM),0,1,186.66,DS005,DA0101
RET0000036,ORD0000187,CUS001596,SKU1215,Snacks & Namkeen,Popcorn,Premium,Chennai,2023-01-25,2023-01,1,Wrong Item Delivered,Logistics,87.16,77.49,164.65,2,Wallet Credit,Champion,Prime Evening (6–9 PM),1,0,95.59,DS019,DA0028
RET0000037,ORD0000191,CUS015715,SKU1384,Baby Care,Diapers,Mid,Mumbai,2023-03-24,2023-03,2,Expired or Near-Expiry,Quality,1101.61,55.79,1157.4,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,1259.73,DS019,DA0002
RET0000038,ORD0000196,CUS016583,SKU1348,Household Essentials,Cleaning Liquids,Mid,Hyderabad,2024-04-01,2024-04,3,Wrong Item Delivered,Logistics,128.68,36.9,165.58,2,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,134.47,DS025,DA0048
RET0000039,ORD0000197,CUS010184,SKU1081,Meat & Seafood,Chicken,Mid,Mumbai,2023-08-21,2023-08,2,Damaged Product,Logistics,181.55,59.68,241.23,2,Original Payment Method,Champion,Prime Evening (6–9 PM),0,1,199.42,DS007,DA0176
RET0000040,ORD0000208,CUS002562,SKU1038,Fruits & Vegetables,Herbs & Seasonings,Budget,Chennai,2024-02-26,2024-02,4,Expired or Near-Expiry,Quality,91.09,37.45,128.54,7,Original Payment Method,Champion,Afternoon (12–3 PM),0,1,98.82,DS011,DA0160
RET0000041,ORD0000224,CUS004341,SKU1128,Frozen Foods,Frozen Vegetables,Budget,Mumbai,2023-12-01,2023-12,1,Damaged Product,Logistics,422.93,61.3,484.23,0,Wallet Credit,Champion,Prime Evening (6–9 PM),1,1,472.3,DS008,DA0007
RET0000042,ORD0000233,CUS009826,SKU1044,Dairy & Eggs,Milk,Mid,Delhi,2023-03-29,2023-03,2,Damaged Product,Logistics,49.2,37.84,87.04,7,Wallet Credit,Champion,Afternoon (12–3 PM),0,1,56.62,DS018,DA0159
RET0000043,ORD0000241,CUS010840,SKU1354,Household Essentials,Detergents,Mid,Mumbai,2023-01-01,2023-01,2,Item Missing in Order,Logistics,370.51,78.38,448.89,1,Original Payment Method,Champion,Morning (9 AM–12 PM),0,0,402.52,DS009,DA0198
RET0000044,ORD0000244,CUS004396,SKU1323,Personal Care,Oral Care,Budget,Chennai,2022-11-18,2022-11,1,Changed Mind,Customer,839.3,76.7,916.0,0,Original Payment Method,Champion,Evening (3–6 PM),0,0,885.21,DS009,DA0123
RET0000045,ORD0000248,CUS005924,SKU1293,Staples & Grains,Cooking Oil,Premium,Delhi,2023-05-12,2023-05,1,Damaged Product,Logistics,209.12,72.96,282.08,1,Bank Transfer,Champion,Evening (3–6 PM),0,0,227.88,DS015,DA0144
RET0000046,ORD0000252,CUS005858,SKU1065,Dairy & Eggs,Butter,Mid,Pune,2023-03-16,2023-03,3,Quality Not as Expected,Quality,170.44,74.76,245.2,2,Original Payment Method,Champion,Night (9 PM–12 AM),0,1,177.3,DS008,DA0139
RET0000047,ORD0000258,CUS011105,SKU1106,Meat & Seafood,Prawns & Shrimp,Budget,Ahmedabad,2023-12-15,2023-12,0,Damaged Product,Logistics,250.9,84.51,335.41,0,Original Payment Method,Champion,Night (9 PM–12 AM),0,1,257.68,DS012,DA0055
RET0000048,ORD0000261,CUS015578,SKU1056,Dairy & Eggs,Eggs,Premium,Delhi,2023-11-02,2023-11,2,Wrong Item Delivered,Logistics,391.61,45.75,437.36,2,Wallet Credit,Champion,Prime Evening (6–9 PM),1,1,415.92,DS011,DA0164
RET0000049,ORD0000264,CUS000627,SKU1063,Dairy & Eggs,Butter,Budget,Hyderabad,2023-01-30,2023-01,0,Expired or Near-Expiry,Quality,177.51,69.5,247.01,3,Original Payment Method,Champion,Morning (9 AM–12 PM),0,1,203.4,DS010,DA0116
RET0000050,ORD0000270,CUS011608,SKU1255,Beverages,Tea & Coffee,Mid,Chennai,2023-05-23,2023-05,7,Other,Customer,143.19,38.21,181.4,1,Original Payment Method,Champion,Evening (3–6 PM),0,0,153.14,DS004,DA0190
RET0000051,ORD0000278,CUS007779,SKU1349,Household Essentials,Cleaning Liquids,Budget,Mumbai,2022-08-28,2022-08,0,Damaged Product,Logistics,164.97,80.76,245.73,5,Bank Transfer,Champion,Prime Evening (6–9 PM),0,0,170.22,DS001,DA0012
RET0000052,ORD0000295,CUS004560,SKU1329,Personal Care,Body Wash,Budget,Kolkata,2023-12-09,2023-12,5,Quality Not as Expected,Quality,590.29,83.22,673.51,3,Original Payment Method,Champion,Evening (3–6 PM),0,0,606.92,DS022,DA0035
RET0000053,ORD0000297,CUS015899,SKU1320,Personal Care,Oral Care,Budget,Bengaluru,2022-08-22,2022-08,0,Damaged Product,Logistics,1008.71,66.63,1075.34,1,Bank Transfer,Champion,Prime Evening (6–9 PM),1,0,1133.16,DS019,DA0177
RET0000054,ORD0000302,CUS017647,SKU1252,Beverages,Energy Drinks,Mid,Hyderabad,2023-12-17,2023-12,1,Expired or Near-Expiry,Quality,197.76,61.92,259.68,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,236.48,DS022,DA0171
RET0000055,ORD0000306,CUS006787,SKU1040,Fruits & Vegetables,Herbs & Seasonings,Premium,Delhi,2023-07-02,2023-07,3,Item Missing in Order,Logistics,86.39,79.65,166.04,1,Wallet Credit,Champion,Prime Evening (6–9 PM),1,1,97.52,DS021,DA0195
RET0000056,ORD0000307,CUS012015,SKU1047,Dairy & Eggs,Cheese,Budget,Chennai,2023-12-24,2023-12,0,Expired or Near-Expiry,Quality,179.06,61.2,240.26,0,Original Payment Method,Champion,Evening (3–6 PM),0,1,183.3,DS011,DA0125
RET0000057,ORD0000314,CUS008528,SKU1089,Meat & Seafood,Mutton,Premium,Mumbai,2023-04-09,2023-04,0,Changed Mind,Customer,756.76,83.49,840.25,3,Wallet Credit,Champion,Early Morning (6–9 AM),0,1,772.38,DS018,DA0052
RET0000058,ORD0000318,CUS015015,SKU1094,Meat & Seafood,Fish,Mid,Kolkata,2024-05-30,2024-05,0,Damaged Product,Logistics,340.27,80.77,421.04,5,Original Payment Method,Champion,Evening (3–6 PM),0,1,346.87,DS019,DA0022
RET0000059,ORD0000324,CUS010749,SKU1176,Bakery & Bread,Cakes & Pastries,Premium,Ahmedabad,2023-04-25,2023-04,0,Changed Mind,Customer,76.79,84.99,161.78,1,Wallet Credit,Champion,Prime Evening (6–9 PM),1,0,90.68,DS024,DA0137
RET0000060,ORD0000325,CUS002908,SKU1054,Dairy & Eggs,Paneer,Premium,Hyderabad,2022-11-22,2022-11,1,Damaged Product,Logistics,182.16,49.81,231.97,7,Original Payment Method,Champion,Morning (9 AM–12 PM),0,1,190.86,DS012,DA0147
RET0000061,ORD0000350,CUS000861,SKU1002,Fruits & Vegetables,Fresh Fruits,Mid,Chennai,2024-02-05,2024-02,6,Expired or Near-Expiry,Quality,155.63,65.85,221.48,0,Original Payment Method,Champion,Night (9 PM–12 AM),0,1,177.24,DS008,DA0090
RET0000062,ORD0000358,CUS015070,SKU1010,Fruits & Vegetables,Exotic Vegetables,Budget,Mumbai,2024-05-18,2024-05,0,Wrong Item Delivered,Logistics,71.64,41.25,112.89,0,Original Payment Method,Champion,Evening (3–6 PM),0,1,81.4,DS008,DA0093
RET0000063,ORD0000373,CUS009070,SKU1102,Meat & Seafood,Prawns & Shrimp,Mid,Chennai,2023-07-13,2023-07,0,Expired or Near-Expiry,Quality,787.37,46.86,834.23,1,Wallet Credit,Champion,Evening (3–6 PM),0,1,816.99,DS021,DA0069
RET0000064,ORD0000378,CUS007287,SKU1433,Pet Care,Cat Food,Budget,Kolkata,2023-12-18,2023-12,1,Duplicate Order,Customer,537.19,37.39,574.58,1,Wallet Credit,Champion,Evening (3–6 PM),0,0,606.22,DS023,DA0004
RET0000065,ORD0000380,CUS006992,SKU1131,Frozen Foods,Frozen Vegetables,Mid,Chennai,2023-05-12,2023-05,1,Damaged Product,Logistics,670.94,75.72,746.66,5,Original Payment Method,Champion,Prime Evening (6–9 PM),1,1,788.1,DS004,DA0007
RET0000066,ORD0000383,CUS014793,SKU1210,Snacks & Namkeen,Namkeen,Premium,Delhi,2023-11-22,2023-11,6,Expired or Near-Expiry,Quality,76.87,46.82,123.69,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,78.77,DS023,DA0059
RET0000067,ORD0000385,CUS016464,SKU1025,Fruits & Vegetables,Root Vegetables,Budget,Pune,2024-06-10,2024-06,0,Other,Customer,112.16,38.58,150.74,1,Original Payment Method,Champion,Evening (3–6 PM),0,1,118.19,DS005,DA0149
RET0000068,ORD0000393,CUS017307,SKU1267,Beverages,Water,Mid,Delhi,2022-10-11,2022-10,2,Damaged Product,Logistics,91.18,36.23,127.41,0,Bank Transfer,Champion,Evening (3–6 PM),1,0,107.96,DS007,DA0179
RET0000069,ORD0000401,CUS015898,SKU1076,Meat & Seafood,Chicken,Budget,Bengaluru,2023-07-02,2023-07,0,Expired or Near-Expiry,Quality,417.21,38.68,455.89,0,Wallet Credit,Champion,Prime Evening (6–9 PM),0,1,429.16,DS018,DA0156
RET0000070,ORD0000409,CUS006498,SKU1112,Meat & Seafood,Other Seafood,Budget,Bengaluru,2023-10-13,2023-10,3,Damaged Product,Logistics,321.58,67.16,388.74,1,Wallet Credit,Champion,Prime Evening (6–9 PM),1,1,372.76,DS003,DA0133
RET0000071,ORD0000420,CUS011169,SKU1404,Baby Care,Baby Lotion,Premium,Bengaluru,2022-10-23,2022-10,0,Damaged Product,Logistics,1100.25,32.3,1132.55,5,Wallet Credit,Champion,Evening (3–6 PM),0,0,1200.64,DS020,DA0084
RET0000072,ORD0000423,CUS013852,SKU1121,Frozen Foods,Ice Cream,Budget,Delhi,2024-07-02,2024-07,6,Damaged Product,Logistics,234.72,53.28,288.0,2,Wallet Credit,Champion,Evening (3–6 PM),0,1,267.52,DS005,DA0128
RET0000073,ORD0000428,CUS010801,SKU1428,Pet Care,Dog Food,Premium,Bengaluru,2024-06-15,2024-06,0,Expired or Near-Expiry,Quality,434.23,49.38,483.61,3,Original Payment Method,Champion,Morning (9 AM–12 PM),1,0,443.1,DS003,DA0065
RET0000074,ORD0000431,CUS012613,SKU1059,Dairy & Eggs,Eggs,Mid,Kolkata,2024-01-24,2024-01,3,Expired or Near-Expiry,Quality,340.79,76.18,416.97,1,Original Payment Method,Champion,Morning (9 AM–12 PM),0,1,355.4,DS012,DA0177
RET0000075,ORD0000441,CUS004716,SKU1012,Fruits & Vegetables,Exotic Vegetables,Budget,Delhi,2022-07-10,2022-07,1,Expired or Near-Expiry,Quality,78.4,55.62,134.02,0,Bank Transfer,Champion,Morning (9 AM–12 PM),0,1,85.81,DS015,DA0172
RET0000076,ORD0000442,CUS016192,SKU1100,Meat & Seafood,Prawns & Shrimp,Budget,Ahmedabad,2024-04-13,2024-04,1,Wrong Item Delivered,Logistics,368.65,81.15,449.8,0,Original Payment Method,Champion,Prime Evening (6–9 PM),0,1,389.3,DS005,DA0175
RET0000077,ORD0000444,CUS013104,SKU1368,Household Essentials,Fresheners,Mid,Kolkata,2023-06-13,2023-06,5,Quality Not as Expected,Quality,182.7,51.03,233.73,1,Wallet Credit,Champion,Prime Evening (6–9 PM),0,0,202.97,DS025,DA0002
RET0000078,ORD0000450,CUS002979,SKU1222,Snacks & Namkeen,Nuts & Dry Fruits,Budget,Delhi,2022-11-26,2022-11,1,Damaged Product,Logistics,205.21,72.65,277.86,0,Wallet Credit,Champion,Evening (3–6 PM),0,0,212.49,DS020,DA0057
RET0000079,ORD0000456,CUS011096,SKU1399,Baby Care,Baby Wipes,Mid,Ahmedabad,2024-03-19,2024-03,0,Expired or Near-Expiry,Quality,509.04,46.03,555.07,2,Original Payment Method,Champion,Prime Evening (6–9 PM),1,0,535.46,DS023,DA0054
RET0000080,ORD0000465,CUS017562,SKU1392,Baby Care,Baby Food,Budget,Kolkata,2022-12-16,2022-12,1,Expired or Near-Expiry,Quality,634.29,46.58,680.87,1,Bank Transfer,Champion,Afternoon (12–3 PM),1,0,644.72,DS001,DA0115
RET0000081,ORD0000476,CUS011040,SKU1060,Dairy & Eggs,Eggs,Budget,Mumbai,2022-09-04,2022-09,2,Damaged Product,Logistics,56.66,77.48,134.14,1,Original Payment Method,Champion,Night (9 PM–12 AM),0,1,67.63,DS019,DA0187
RET0000082,ORD0000481,CUS001413,SKU1268,Beverages,Water,Budget,Hyderabad,2022-07-29,2022-07,1,Wrong Item Delivered,Logistics,59.42,44.28,103.7,1,Original Payment Method,Champion,Evening (3–6 PM),1,0,63.96,DS008,DA0006
RET0000083,ORD0000485,CUS009783,SKU1336,Personal Care,Deodorants,Budget,Mumbai,2022-07-28,2022-07,1,Damaged Product,Logistics,498.53,56.75,555.28,1,Original Payment Method,Champion,Morning (9 AM–12 PM),0,0,596.22,DS006,DA0099
RET0000084,ORD0000487,CUS017937,SKU1148,Frozen Foods,Frozen Meat,Budget,Delhi,2022-12-01,2022-12,0,Damaged Product,Logistics,177.45,76.66,254.11,3,Original Payment Method,Champion,Prime Evening (6–9 PM),0,1,192.66,DS012,DA0155
RET0000085,ORD0000498,CUS011956,SKU1090,Meat & Seafood,Mutton,Budget,Delhi,2024-03-24,2024-03,0,Damaged Product,Logistics,291.53,82.73,374.26,1,Original Payment Method,Champion,Evening (3–6 PM),0,1,298.01,DS002,DA0186
RET0000086,ORD0000507,CUS016589,SKU1454,Pet Care,Pet Accessories,Mid,Kolkata,2023-03-03,2023-03,2,Quality Not as Expected,Quality,557.41,37.22,594.63,0,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,650.6,DS003,DA0160
RET0000087,ORD0000517,CUS000698,SKU1166,Bakery & Bread,Biscuits & Cookies,Premium,Bengaluru,2022-07-04,2022-07,0,Damaged Product,Logistics,185.12,84.13,269.25,2,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,186.33,DS021,DA0183
RET0000088,ORD0000519,CUS000263,SKU1382,Baby Care,Diapers,Premium,Bengaluru,2023-07-24,2023-07,5,Damaged Product,Logistics,748.75,44.07,792.82,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,796.26,DS013,DA0185
RET0000089,ORD0000525,CUS003795,SKU1248,Beverages,Energy Drinks,Premium,Mumbai,2023-09-19,2023-09,1,Changed Mind,Customer,197.79,45.55,243.34,1,Original Payment Method,Champion,Prime Evening (6–9 PM),1,0,225.66,DS010,DA0058
RET0000090,ORD0000529,CUS015921,SKU1079,Meat & Seafood,Chicken,Budget,Ahmedabad,2023-11-05,2023-11,0,Wrong Item Delivered,Logistics,160.92,28.72,189.64,10,Bank Transfer,Champion,Night (9 PM–12 AM),0,1,195.41,DS017,DA0014
RET0000091,ORD0000530,CUS007789,SKU1143,Frozen Foods,Frozen Snacks,Premium,Kolkata,2023-01-31,2023-01,4,Quality Not as Expected,Quality,86.79,84.13,170.92,2,Bank Transfer,Champion,Afternoon (12–3 PM),0,1,90.2,DS004,DA0050
RET0000092,ORD0000533,CUS008889,SKU1334,Personal Care,Deodorants,Budget,Pune,2023-03-10,2023-03,3,Expired or Near-Expiry,Quality,556.42,41.94,598.36,1,Original Payment Method,Champion,Evening (3–6 PM),0,0,625.23,DS011,DA0152
RET0000093,ORD0000538,CUS012461,SKU1123,Frozen Foods,Ice Cream,Budget,Delhi,2023-08-27,2023-08,4,Damaged Product,Logistics,179.74,40.88,220.62,3,Bank Transfer,Champion,Early Morning (6–9 AM),0,1,194.62,DS018,DA0007
RET0000094,ORD0000542,CUS003840,SKU1366,Household Essentials,Floor Cleaners,Budget,Pune,2024-04-03,2024-04,1,Changed Mind,Customer,676.26,72.13,748.39,2,Original Payment Method,Champion,Night (9 PM–12 AM),0,0,712.64,DS006,DA0161
RET0000095,ORD0000555,CUS002840,SKU1149,Frozen Foods,Frozen Meat,Budget,Mumbai,2024-06-13,2024-06,0,Changed Mind,Customer,419.02,66.82,485.84,1,Wallet Credit,Champion,Evening (3–6 PM),1,1,453.06,DS022,DA0161
RET0000096,ORD0000563,CUS009636,SKU1068,Dairy & Eggs,Curd & Yogurt,Mid,Mumbai,2022-09-15,2022-09,0,Expired or Near-Expiry,Quality,54.99,40.47,95.46,7,Original Payment Method,Champion,Night (9 PM–12 AM),0,1,63.1,DS009,DA0120
RET0000097,ORD0000570,CUS011167,SKU1159,Bakery & Bread,Bread & Buns,Budget,Delhi,2023-04-15,2023-04,3,Duplicate Order,Customer,11.46,48.49,59.95,1,Wallet Credit,Champion,Afternoon (12–3 PM),0,0,11.84,DS014,DA0174
RET0000098,ORD0000576,CUS010075,SKU1031,Fruits & Vegetables,Root Vegetables,Premium,Mumbai,2023-12-31,2023-12,2,Wrong Item Delivered,Logistics,104.72,36.37,141.09,3,Original Payment Method,Champion,Afternoon (12–3 PM),0,1,122.27,DS023,DA0105
RET0000099,ORD0000577,CUS004318,SKU1240,Beverages,Juices,Budget,Pune,2022-07-07,2022-07,2,Expired or Near-Expiry,Quality,308.69,29.68,338.37,1,Original Payment Method,Champion,Prime Evening (6–9 PM),0,0,345.48,DS005,DA0155
RET0000100,ORD0000586,CUS004323,SKU1372,Household Essentials,Fresheners,Mid,Chennai,2022-08-02,2022-08,7,Item Missing in Order,Logistics,119.19,32.14,151.33,3,Wallet Credit,Champion,Evening (3–6 PM),1,0,142.8,DS022,DA0045
RET0000101,ORD0000587,CUS002350,SKU1057,Dairy & Eggs,Eggs,Budget,Delhi,2024-04-12,2024-04,4,Expired or Near-Expiry,Quality,62.78,69.19,131.97,7,Original Payment Method,Champion,Prime Evening (6–9 PM),1,1,69.59,DS014,DA0148
RET0000102,ORD0000589,CUS006316,SKU1330,Personal Care,Body Wash,Mid,Delhi,2023-07-04,2023-07,2,Quality Not as Expected,Quality,161.93,66.64,228.57,1,Wallet Credit,Champion,Prime Evening (6–9 PM),0,0,184.55,DS010,DA0185
